intype,insubtype,surreason,outtype,animaltype,sex,bites,petsize,color,breed,mixed,breed2,days_in,in_season,out_season
FOSTER,RETURN,FOSTER RET,ADOPTION,CAT,S,N,KITTN,TORTIE,DOMESTIC SH,False,NM,7,SUMMER,SUMMER
FOSTER,RETURN,FOSTER RET,ADOPTION,CAT,N,N,KITTN,BLACK,DOMESTIC SH,False,NM,7,SUMMER,SUMMER
FOSTER,RETURN,FOSTER RET,ADOPTION,CAT,S,N,KITTN,BLUE,DOMESTIC SH,False,NM,1,SUMMER,SUMMER
FOSTER,RETURN,FOSTER RET,ADOPTION,CAT,S,N,KITTN,CALICO,DOMESTIC SH,False,NM,6,SUMMER,SUMMER
FOSTER,RETURN,FOSTER RET,ADOPTION,CAT,N,N,SMALL,BRN TABBY / WHITE,DOMESTIC SH,False,NM,3,FALL,FALL
STRAY,OTC,STRAY,SNR,CAT,N,N,KITTN,BLACK,DOMESTIC SH,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,SNR,CAT,N,N,MED,BLACK / WHITE,DOMESTIC LH,False,NM,2,WINTER,WINTER
STRAY,OTC,STRAY,FOSTER,CAT,N,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,False,NM,8,WINTER,WINTER
STRAY,OTC,STRAY,SNR,CAT,N,N,LARGE,ORG TABBY,DOMESTIC SH,False,NM,108,SPRING,SUMMER
STRAY,OTC,STRAY,TNR,CAT,N,N,MED,BRN TABBY,DOMESTIC SH,False,NM,4,SPRING,SPRING
STRAY,OTC,STRAY,SNR,CAT,N,N,LARGE,ORG TABBY,DOMESTIC LH,False,NM,28,SUMMER,SUMMER
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,MED,BRN TABBY,ABYSSINIAN,True,Unknown,15,WINTER,SPRING
STRAY,OTC,STRAY,TRANSFER,DOG,S,N,SMALL,BROWN,YORKSHIRE TERR,True,Unknown,10,FALL,FALL
STRAY,FIELD,STRAY,EUTH,DOG,F,N,LARGE,BROWN / BLACK,GERM SHEPHERD,True,MASTIFF,14,FALL,FALL
OWNER SUR,FIELD,BITES,EUTH,DOG,N,Y,MED,BR BRINDLE / WHITE,PIT BULL,True,Unknown,11,FALL,FALL
STRAY,OTC,STRAY,TRANSPORT,DOG,N,N,MED,TAN,AMERICAN STAFF,True,BULLDOG,18,FALL,FALL
STRAY,FIELD,STRAY,ADOPTION,CAT,N,N,MED,ORANGE / WHITE,DOMESTIC SH,False,NM,17,FALL,FALL
STRAY,FIELD,STRAY,FOSTER,DOG,S,N,LARGE,BLACK / WHITE,CANE CORSO,False,NM,5,FALL,FALL
STRAY,FIELD,STRAY,TRANSFER,DOG,N,N,LARGE,BLACK / WHITE,AUST SHEPHERD,True,Unknown,17,FALL,FALL
RETURN,ADOPTION,RESPONSIBL,ADOPTION,DOG,S,N,MED,WHITE / BROWN,ENG BULLDOG,True,AMER BULLDOG,40,FALL,WINTER
STRAY,OTC,STRAY,RTO,DOG,S,N,MED,BLACK,LABRADOR RETR,True,Unknown,0,SPRING,SPRING
STRAY,OTC,STRAY,RTO,DOG,S,N,MED,BLACK / WHITE,PIT BULL,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,ADOPTION,BIRD,U,N,SMALL,RED,CHICKEN,False,NM,4,FALL,FALL
STRAY,FIELD,STRAY,TRANSFER,DOG,N,N,MED,BLACK / WHITE,PIT BULL,False,NM,9,WINTER,WINTER
STRAY,FIELD,STRAY,RTO,DOG,M,N,MED,RED,AMERICAN STAFF,False,NM,10,FALL,FALL
RETURN,ADOPTION,OTHER PET,ADOPTION,CAT,S,N,LARGE,BRN TABBY / WHITE,DOMESTIC SH,False,NM,3,FALL,FALL
STRAY,OTC,STRAY,EUTH,DOG,N,N,LARGE,BLACK / WHITE,PIT BULL,False,NM,19,FALL,FALL
STRAY,OTC,STRAY,SNR,CAT,N,N,MED,BLACK,DOMESTIC SH,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,FOSTER,DOG,N,N,MED,BROWN / WHITE,AMERICAN STAFF,True,Unknown,5,FALL,WINTER
FOSTER,RETURN,FOSTER RET,ADOPTION,DOG,N,N,MED,BROWN / WHITE,AMERICAN STAFF,True,Unknown,0,WINTER,WINTER
FOSTER,RETURN,FOSTER RET,RTO,DOG,N,N,SMALL,BLACK,POODLE TOY,False,NM,0,WINTER,WINTER
RETURN,ADOPTION,ALLERGIC,ADOPTION,DOG,S,N,MED,TRICOLOR,BEAGLE,False,NM,0,FALL,FALL
STRAY,OTC,STRAY,RTO,DOG,S,N,MED,BLACK / WHITE,PIT BULL,False,NM,14,SPRING,SUMMER
FOSTER,RETURN,FOSTER RET,FOSTER,DOG,S,N,MED,BLACK,CHOW CHOW,False,NM,9,SUMMER,SUMMER
STRAY,FIELD,STRAY,SNR,CAT,S,N,SMALL,BLACK / WHITE,DOMESTIC MH,False,NM,5,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,False,NM,11,FALL,FALL
OWNER SUR,EUTH REQ,AGG PEOPLE,EUTH,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,False,NM,0,SPRING,SPRING
FOSTER,RETURN,FOSTER RET,ADOPTION,DOG,S,N,LARGE,TRICOLOR,COLLIE ROUGH,False,NM,0,SUMMER,SUMMER
FOSTER,RETURN,STRAY,ADOPTION,DOG,S,N,PUPPY,BLACK,LABRADOR RETR,False,NM,1,SPRING,SPRING
OWNER SUR,OTC,ABANDON,ADOPTION,DOG,N,N,PUPPY,TAN / WHITE,BEAGLE,False,NM,1,FALL,FALL
STRAY,OTC,STRAY,SNR,CAT,N,N,SMALL,GRAY / WHITE,DOMESTIC SH,False,NM,2,SUMMER,SUMMER
FOSTER,RETURN,FOSTER RET,ADOPTION,DOG,S,N,PUPPY,BL BRINDLE / WHITE,SCHNAUZER STAND,True,Unknown,2,SPRING,SPRING
STRAY,OTC,STRAY,SNR,CAT,N,N,MED,WHITE / BLACK,DOMESTIC SH,False,NM,15,FALL,FALL
FOSTER,RETURN,STRAY,ADOPTION,DOG,N,N,PUPPY,BLACK,LABRADOR RETR,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,KITTN,ORG TABBY / WHITE,DOMESTIC SH,False,NM,20,FALL,FALL
STRAY,OTC,STRAY,TRANSFER,DOG,N,N,LARGE,TAN,LABRADOR RETR,False,NM,16,FALL,FALL
STRAY,FIELD,STRAY,ADOPTION,BIRD,F,N,SMALL,BLACK / WHITE,CHICKEN,False,NM,3,WINTER,WINTER
STRAY,FIELD,STRAY,RTO,DOG,F,N,SMALL,GOLD / WHITE,CHIHUAHUA SH,False,NM,2,SPRING,SPRING
FOSTER,RETURN,STRAY,ADOPTION,DOG,N,N,PUPPY,YELLOW,LABRADOR RETR,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,False,NM,11,FALL,FALL
STRAY,FIELD,STRAY,ADOPTION,DOG,S,N,SMALL,BLACK / BROWN,MIN PINSCHER,True,Unknown,10,FALL,FALL
STRAY,FIELD,STRAY,ADOPTION,BIRD,M,N,SMALL,BLACK / RED,CHICKEN,False,NM,3,WINTER,WINTER
FOSTER,RETURN,STRAY,ADOPTION,DOG,S,N,LARGE,BLACK,LABRADOR RETR,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,KITTN,BLACK,DOMESTIC SH,False,NM,24,FALL,FALL
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,False,NM,37,SUMMER,SUMMER
STRAY,FIELD,STRAY,ADOPTION,BIRD,F,N,SMALL,TAN / BLACK,CHICKEN,False,NM,3,WINTER,WINTER
STRAY,FIELD,STRAY,RTO,DOG,N,N,LARGE,BLACK / BROWN,ENG COONHOUND,False,NM,12,SPRING,SPRING
FOSTER,RETURN,OTHER PET,ADOPTION,DOG,S,N,MED,BR BRINDLE,DUTCH SHEPHERD,True,Unknown,7,FALL,FALL
STRAY,FIELD,STRAY,RTF,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,False,NM,18,WINTER,SPRING
